Product No.,Description,CAS,Package Size,Price (Euro),USP Traceability
PHR1382,Ceftriaxone Sodium,104376-79-6,1 g,EUR 105,1098184
PHR1383,Adenine,73-24-5,1 g,EUR 139,1012101
PHR1384,Amitriptyline hydrochloride,549-18-8,1 g,EUR 112,1029002
PHR1385,Ketoconazole,65277-42-1,1 g,EUR 107,1356508
PHR1388,Adapalene,106685-40-9,500 mg,EUR 130,1011709
PHR1389,Propyphenazone,479-92-5,1 g,EUR 100,
PHR1390,Lansoprazole,103577-45-3,1 g,EUR 100,1356916
PHR1391,Praziquantel,55268-74-1,1 g,EUR 105,1554603
PHR1392,Lamotrigine,84057-84-1,1 g,EUR 123,1356756
PHR1393,Ampicillin Trihydrate,7177-48-2,1 g,EUR 105,1033000
PHR1394,Fluoxetine Hydrochloride,56296-78-7,1 g,EUR 96.7,1279804
PHR1395,Methocarbamol,532-03-6,1 g,EUR 100,1412008
PHR1396,Methotrexate,59-05-2,1 g,EUR 120,1414003
PHR1397,Fluocinolone Acetonide,67-73-2,500 mg,EUR 260,1275009
PHR1398,Betamethasone,378-44-9,1 g,EUR 116,1066009
PHR1399,Betamethasone Dipropionate,5593-20-4,1 g,EUR 116,1067704
PHR1400,Mometasone Furoate,83919-23-7,500 mg,EUR 116,1445470
PHR1401,Zinc Pyrithione,,5 g,EUR 155,
PHR1402,Phenoxybenzamine Hydrochloride,63-92-3,1 g,EUR 96.7,1526007
PHR1403,Phentolamine Mesylate,65-28-1,1 g,EUR 116,1530004
PHR1404,Cyclophosphamide,6055-19-2,1 g,EUR 117,1157002
PHR1405,Capecitabine,154361-50-9,1 g,EUR 116,1090706
PHR1406,Urea,57-13-6,1 g,EUR 92,1706698
PHR1408,Sodium Fluoride,7681-49-4,1 g,EUR 82.3,1614002
PHR1408,Sodium Fluoride,7681-49-4,1 g,EUR 82.3,1614002
PHR1409,Sodium Tartrate Dihydrate,6106-24-7,4 x 1 g,EUR 92,1614909
PHR1410,Triacetin,102-76-1,1 g,EUR 92,1675007
PHR1411,Menadione,58-27-5,500 mg,EUR 92,1381006
PHR1412,Chloramphenicol,,1 g,EUR 92,1107004
PHR1413,Ethosuximide,77-67-8,1 g,EUR 289,1264002
PHR1414,Methyl Stearate,112-61-8,1 g,EUR 89.4,1437508
PHR1416,Sodium Citrate,6132-04-3,1 g,EUR 92,1613859
PHR1417,Squalane,111-01-3,1 g,EUR 92,1619505
PHR1418,Succinic Acid,110-15-6,1 g,EUR 92,1623411
PHR1419,Sulfanilic Acid,121-57-3,500 mg,EUR 92,1633506
PHR1420,Doxylamine Succinate,562-10-7,1 g,EUR 146,1227006
PHR1421,Chlorhexidine,55-56-1,1 g,EUR 92,1111001
PHR1422,Atorvastatin Calcium,344423-98-9,1 g,EUR 102,1044516
PHR1423,Sodium Nitroprusside,13755-38-9,1 g,EUR 103,1614501
PHR1424,Ampicillin Sodium,69-52-3,1 g,EUR 103,1033203
PHR1425,Benzethonium Chloride,121-54-0,1 g,EUR 103,1051500
PHR1426,Spectinomycin Hydrochloride,,500 mg,EUR 103,1618003
PHR1427,Glycolic Acid,79-14-1,1 g,EUR 93.3,
PHR1428,HEPES,7365-45-9,1 g,EUR 93.3,
PHR1429,Undecylenoyl phenylalanine (Sepiwhite),,1 g,EUR 112,
PHR1430,Dihydroxyacetone,96-26-4,1 g,EUR 135,1204102
PHR1431,Clopidogrel Bisulfate,120202-66-6,1 g,EUR 187,1140430
PHR1432,N-Acetylglucosamine,7512-17-6,1 g,EUR 103,1010022
PHR1433,Ascorbyl Glucoside,129499-78-1,1 g,EUR 112,
PHR1434,Sodium Metabisulfite,7681-57-4,1 g,EUR 103,1614396
PHR1435,Warfarin Sodium,129-06-6,1 g,EUR 102,1719000
PHR1436,Foscarnet Sodium,34156-56-4,1 g,EUR 140,1283302
PHR1437,Temozolomide,85622-93-1,1 g,EUR 167,1643543
PHR1438,Simvastatin,79902-63-9,1 g,EUR 103,1612700
PHR1439,Beta-Cyclodextrin,7585-39-9,1 g,EUR 103,1154569
PHR1440,Hydroxypropyl Beta Cyclodextrin,128446-35-5,1 g,EUR 96.7,1329709
PHR1440,Hydroxypropyl Beta Cyclodextrin,128446-35-5,1 g,EUR 96.7,1329709
PHR1441,Spectinomycin Sulfate,64058-48-6,1 g,EUR 103,1618003
PHR1442,Flunixin Meglumine,42461-84-7,1 g,EUR 102,1274607
PHR1443,Irbesartan,138402-11-6,1 g,EUR 102,1347700
PHR1444,Sodium Stearyl Fumarate,4070-80-8,1 g,EUR 98.1,1614705
PHR1445,Orlistat,96829-58-2,1 g,EUR 152,1478800
PHR1446,Ramipril,87333-19-5,1 g,EUR 110,1598303
PHR1447,Levetiracetam,102767-28-2,1 g,EUR 110,1359404
PHR1448,Sulfadimethoxine,122-11-2,500 mg,EUR 102,1626001
PHR1449,Salicylamide,65-45-2,1 g,EUR 102,1608000
PHR1450,Capsaicin,404-86-4,1 g,EUR 120,1091108
PHR1451,Mycophenolate Mofetil,128794-94-5,1 g,EUR 216,1448956
PHR1452,Carprofen,53716-49-7,1 g,EUR 200,1096699
PHR1454,Arginine Hydrochloride,1119-34-2,1 g,EUR 102,1042601
PHR1455,Ascorbyl Palmitate,137-66-6,2 g,EUR 102,1043105
PHR1456,Bis(2 ethylhexyl)maleate,142-16-5,2 x 1 g,EUR 635,1075203
PHR1457,Calcium Lactobionate,110638-68-1,1 g,EUR 102,1086902
PHR1459,Chlorhexidine Hydrochloride,3697-42-5,500 mg,EUR 90.6,1111103
PHR1460,Choline Bitartrate,87-67-2,500 mg,EUR 102,1133536
PHR1461,Copper Chlorophyllin,11006-34-1,1 g,EUR 96.7,
PHR1462,Creatinine,60-27-5,1 g,EUR 102,1150353
PHR1464,Dapsone,80-08-0,1 g,EUR 102,1164008
PHR1465,Pantolactone,599-04-2,500 mg,EUR 167,1494807
PHR1467,Promethazine Hydrochloride,58-33-3,1 g,EUR 102,1570009
PHR1468,Quinic Acid,77-95-2,1 g,EUR 102,1594506
PHR1469,Hydroquinone,123-31-9,1 g,EUR 102,1324002
PHR1470,Scopolamine Hydrobromide,6533-68-2,500 mg,EUR 120,1610001
PHR1471,Sodium Alginate,9005-38-3,1 g,EUR 193,
PHR1472,Tartaric Acid,87-69-4,1 g,EUR 102,1643340
PHR1473,o-Toluenesulfonamide,88-19-7,500 mg,EUR 138,1672010
PHR1474,p-Toluenesulfonamide,70-55-3,500 mg,EUR 186,1672020
PHR1475,Disodium Inosinate,352195-40-5,1 g,EUR 110,1222002
PHR1476,Diethyl Phthalate,84-66-2,1 g,EUR 102,1193505
PHR1477,Copper Sulfate,7758-98-7,1 g,EUR 193,
PHR1478,Chloroxylenol,88-04-0,500 mg,EUR 108,1122700
PHR1479,Erythritol,149-32-6,1 g,EUR 102,1241903
PHR1480,Ethinyl Estradiol,57-63-6,200 mg,EUR 128,1260001
PHR1481,Ethyl Acetate,141-78-6,3 x 1.2 mL,EUR 132,1265402
PHR1482,Ferrous Fumarate,141-01-5,1 g,EUR 153,
PHR1483,Ferrous Sulfate,7782-63-0,1 g,EUR 193,
PHR1484,Glyceryl Monooleate,25496-72-4,1 g,EUR 191,1295753
PHR1485,Hydroxypropyl Cellulose,9004-64-2,1 g,EUR 101,1329800
PHR1486,Isosorbide Solution,,1 g,EUR 102,1352008
PHR1487,Kanamycin Sulfate,25389-94-0,500 mg,EUR 102,1355006
PHR1487,Kanamycin Sulfate,25389-94-0,500 mg,EUR 102,1355006
PHR1488,Quercetin,849061-97-8,1 g,EUR 102,1592409
PHR1489,L-Arabinitol,7643-75-6,1 g,EUR 102,
PHR1490,Monoethanolamine,141-43-5,1 mL,EUR 189,1445925
PHR1491,Neomycin Sulfate,1405-10-3,1 g,EUR 102,1458009
PHR1492,Phenytoin sodium,630-93-3,1 g,EUR 102,1535507
PHR1493,Pilocarpine Hydrochloride,54-71-7,500 mg,EUR 120,1538902
PHR1494,Pilocarpine Nitrate,148-72-1,500 mg,EUR 120,1539009
PHR1497,Maltose Monohydrate,6363-53-7,1 g,EUR 102,1375025
PHR1498,Sulfacetamide,144-80-9,1 g,EUR 122,1623808
PHR1499,Flurbiprofen,5104-49-4,500 mg,EUR 120,1285750
PHR1500,Imidurea,39236-46-9,1 g,EUR 90.6,1336806
PHR1502,Berberine Chloride,633-65-8,500 mg,EUR 167,1065210
PHR1503,Cilostazol,73963-72-1,1 g,EUR 167,1134153
PHR1504,Liothyronine,6893-02-3,500 mg,EUR 193,1368008
PHR1505,Metformin Related Compound B,1674-62-0,50 mg,EUR 303,1396331
PHR1506,Metformin Related Compound C,1985-46-2,50 mg,EUR 303,1396342
PHR1507,2-Amino-5-Chlorobenzophenone,719-59-5,200 mg,EUR 349,1022808
PHR1508,Tylosin Tartrate,1405-54-5,500 mg,EUR 147,1703850
PHR1509,Epinephrine Bitartrate,51-42-3,500 mg,EUR 126,1237000
PHR1510,Edetate Calcium Disodium,23411-34-9,1 g,EUR 102,1232006
PHR1511,Carbachol,51-83-2,500 mg,EUR 120,1092009
PHR1512,Ergosterol,57-87-4,200 mg,EUR 110,1241007
PHR1513,Enrofloxacin,93106-60-6,500 mg,EUR 110,1235900
PHR1514,Disodium Guanylate,5550-12-9,1 g,EUR 200,1221000
PHR1516,Glycyrrhizic Acid,1405-86-3,200 mg,EUR 177,1295888
PHR1517,Dihydrostreptomycin Sulfate,5490-27-7,500 mg,EUR 152,1203008
PHR1518,Polydimethylsiloxane,9016-00-6,1 g,EUR 102,1546300
PHR1519,Sulfacetamide Sodium,6209-17-2,1 g,EUR 96.7,1624006
PHR1520,Chlortetracycline Hydrochloride,64-72-2,500 mg,EUR 102,1129007
PHR1521,Ceftiofur Sodium,,1 g,EUR 110,1098165
PHR1524,Tamsulosin hydrochloride,106463-17-6,200 mg,EUR 367,1643260
PHR1525,Rabeprazole Sodium,117976-90-6,1 g,EUR 146,1598019
PHR1526,Dexamethasone,50-02-2,1 g,EUR 120,1176007
PHR1527,Dexamethasone Acetate,1177-87-3,1 g,EUR 120,1176506
PHR1528,Oxaliplatin,61825-94-3,200 mg,EUR 325,1481204
PHR1530,Acetaminophen Related Compound D,103-84-4,200 mg,EUR 259,1003042
PHR1531,Acetaminophen Related Compound C,614-80-2,200 mg,EUR 259,1003031
PHR1532,Metformin Impurity F,506-59-2,200 mg,EUR 303,
PHR1533,Cholesterol,57-88-5,500 mg,EUR 102,1131960
PHR1534,Griseofulvin,126-07-8,1 g,EUR 102,1299007
PHR1535,Estrone,53-16-7,500 mg,EUR 200,1255001
PHR1536,Norphenylephrine Hydrochloride,4779-94-6,200 mg,EUR 167,1473206
PHR1537,Oxytetracycline,6153-64-6,1 g,EUR 102,1491004
PHR1538,Pseudoephedrine hydrochloride,345-78-8,250 mg,EUR 233,1581005
PHR1540,Letrozole,112809-51-5,1 g,EUR 110,1356971
PHR1541,Leucovorin Calcium,1492-18-8,1 g,EUR 110,1358004
PHR1542,Moxifloxacin Hydrochloride,186826-86-8,1 g,EUR 127,1448606
PHR1543,Guaifenesin Impurity B,14007-09-1,50 mg,EUR 313,
PHR1544,2-Methoxyethanol,109-86-4,3 x 1.2 mL,EUR 249,1601645
PHR1545,Chlorobutanol,6001-64-5,1 g,EUR 102,1112503
PHR1546,Acetylcholine chloride,60-31-1,500 mg,EUR 153,1008501
PHR1547,Mesityl Oxide,141-79-7,3 x 1.2 mL,EUR 103,
PHR1549,"1,4-Dioxane",123-91-1,3 x 1.2 mL,EUR 103,1601521
PHR1550,2-Ethoxyethanol,110-80-5,3 x 1.2 mL,EUR 103,1601543
PHR1551,Acetonitrile,75-05-8,3 x 1.2 mL,EUR 108,1601340
PHR1552,Chloroform,67-66-3,3 x 1.2 mL,EUR 103,1601383
PHR1553,Dimethylformamide,68-12-2,3 x 1.2 mL,EUR 103,1601500
PHR1554,Heptane,142-82-5,3 x 1.2 mL,EUR 108,1304209
PHR1555,Hexane,110-54-3,3 x 1.2 mL,EUR 103,1601601
PHR1556,Methyl Isobutyl Ketone,108-10-1,3 x 1.2 mL,EUR 103,1430203
PHR1557,Methylene Chloride,75-09-2,3 x 1.2 mL,EUR 108,1601441
PHR1558,Pyridine,110-86-1,3 x 1.2 mL,EUR 143,1601747
PHR1559,Bacitracin Zinc,1405-89-6,1 g,EUR 102,1048007
PHR1560,tert-Butyl Methyl Ether,1634-04-4,3 x 1.2 mL,EUR 103,1083303
PHR1561,Tetrahydrofuran,109-99-9,3 x 1.2 mL,EUR 108,1601770
PHR1562,Trichloroethylene,79-01-6,3 x 1.2 mL,EUR 103,1601827
PHR1563,2-Butanol,78-92-2,3 x 1.2 mL,EUR 103,1081829
PHR1564,Carprofen Related Compound A,86-74-8,200 mg,EUR 174,1096702
PHR1565,D4 Cyclomethicone,556-67-2,500 mg,EUR 102,1154707
PHR1566,D5 Cyclomethicone,541-02-6,500 mg,EUR 102,1154809
PHR1567,Gibberellic Acid,77-06-5,500 mg,EUR 153,1291005
PHR1568,Leflunomide Related Compound A,455-14-1,200 mg,EUR 174,1357045
PHR1569,Levocarnitine,541-15-1,1 g,EUR 132,1359903
PHR1570,Mesna,19767-45-4,500 mg,EUR 102,1392807
PHR1571,Methyl Oleate,112-62-9,1 g,EUR 193,1431556
PHR1572,Oxymetazoline Hydrochloride,2315-02-8,500 mg,EUR 104,1486004
PHR1573,Phenformin Hydrochloride,834-28-6,500 mg,EUR 143,
PHR1575,Propantheline Bromide,50-34-0,500 mg,EUR 153,1570508
PHR1576,Pyrazinamide,98-96-4,500 mg,EUR 200,1585006
PHR1577,Sulfamerazine,127-79-7,1 g,EUR 122,1628007
PHR1578,Trolamine,102-71-6,5 mL,EUR 193,1696958
PHR1579,Ursodiol,128-13-2,500 mg,EUR 102,1707806
PHR1580,Lauric Acid,143-07-7,1 g,EUR 96.7,1356949
PHR1581,Uracil,66-22-8,100 mg,EUR 102,1705753
PHR1582,Dehydroacetic acid,520-45-6,1 g,EUR 102,1166309
PHR1584,Donepezil Hydrochloride,120011-70-3,1 g,EUR 367,1224981
PHR1585,Esomeprazole Magnesium,217087-09-7,1 g,EUR 187,1249789
PHR1586,Oleic Acid,112-80-1,1 g,EUR 123,1478130
PHR1587,Thimerosal,54-64-8,1 g,EUR 220,1659000
PHR1588,Piroxicam,36322-90-4,200 mg,EUR 172,1544508
PHR1589,Medroxyprogesterone Acetate,71-58-9,500 mg,EUR 132,1378001
PHR1590,Bacitracin,1405-87-4,1 g,EUR 102,1048007
PHR1591,Atovaquone,95233-18-4,500 mg,EUR 102,1044651
PHR1592,Tenofovir,206184-49-8,1 g,EUR 177,1643601
PHR1593,Ganciclovir,82410-32-0,1 g,EUR 193,1288306
PHR1594,Methacycline hydrochloride,3963-95-9,1 g,EUR 193,1397006
PHR1595,Polymyxin B Sulfate,1405-20-5,500 mg,EUR 107,1547007
PHR1596,Pemetrexed,357166-29-1,500 mg,EUR 102,
PHR1597,CMIT/MIT,,1 mL,EUR 93.3,
PHR1598,Pramipexole Dihydrochloride,191217-81-9,500 mg,EUR 102,1553859
PHR1599,Alendronate Sodium,121268-17-5,1 g,EUR 143,1012780
PHR1600,Topiramate,97240-79-4,1 g,EUR 131,1672206
PHR1601,Valacyclovir HCl,124832-27-5,1 g,EUR 193,1707839
PHR1602,Losartan Potassium,124750-99-8,1 g,EUR 102,1370462
PHR1603,Montelukast Sodium,151767-02-1,1 g,EUR 138,1446859
PHR1604,Pantoprazole Sodium,164579-32-2,1 g,EUR 102,1494895
PHR1605,Colistin Sulfate,1264-72-8,1 g,EUR 193,1148001
PHR1606,Hydrocortisone Acetate,50-03-3,1 g,EUR 97.6,1317007
PHR1607,Hydroxyzine Dihydrochloride,2192-20-3,1 g,EUR 153,1333003
PHR1608,Lactulose,4618-18-2,1 g,EUR 102,1356803
PHR1609,Sodium Dehydroacetic Acid,4418-26-2,1 g,EUR 118,1166309
PHR1609,Sodium Dehydroacetic Acid,4418-26-2,10 g,EUR 551,1166309
PHR1610,Erythromycin Ethylsuccinate,1264-62-6,250 mg,EUR 102,1245008
PHR1611,Mercaptopurine,6112-76-1,1 g,EUR 267,
PHR1612,Acetaminophen Related Compound A,2623-33-8,50 mg,EUR 174,1003010
PHR1613,Levothyroxine,51-48-9,1 g,EUR 102,1365000
PHR1614,Norfloxacin,70458-96-7,1 g,EUR 193,1471506
PHR1615,Ritodrine Hydrochloride,23239-51-2,1 g,EUR 102,1604701
PHR1616,Granisetron Hydrochloride,107007-99-8,500 mg,EUR 138,1298106
PHR1617,Glimepiride,93479-97-1,1 g,EUR 193,1292303
PHR1618,Miconazole,22916-47-8,1 g,EUR 132,1443409
PHR1619,Beclomethasone Dipropionate,5534-09-8,1 g,EUR 132,1048506
PHR1620,Fluvastatin sodium,93957-55-2,1 g,EUR 120,1285931
PHR1622,Travoprost,157283-68-6,3 mL,EUR 193,1673001
PHR1623,Galantamine Hydrobromide,1953-04-4,500 mg,EUR 381,1287755
PHR1624,Cisplatin,15663-27-1,200 mg,EUR 187,1134357
PHR1626,Valganciclovir Hydrochloride,175865-59-5,1 g,EUR 193,1708004
PHR1627,Vecuronium Bromide,50700-72-6,100 mg,EUR 445,1711155
PHR1628,Dexamethasone Phosphate,,500 mg,EUR 381,1177000
PHR1630,Prednisolone Acetate,52-21-1,1 g,EUR 163,1556008
PHR1631,Risperidone,106266-06-2,500 mg,EUR 230,1604654
PHR1632,Pioglitazone hydrochloride,112529-15-4,500 mg,EUR 152,1539905
PHR1633,Ropinirole Hydrochloride,91374-20-8,200 mg,EUR 200,1605205
PHR1634,Exemestane,107868-30-4,1 g,EUR 143,1269050
PHR1635,Oxcarbazepine,28721-07-5,1 g,EUR 177,1483152
PHR1636,Azelastine Hydrochloride,79307-93-0,1 g,EUR 218,1046158
PHR1638,Alfuzosin hydrochloride,81403-68-1,1 g,EUR 102,1012917
PHR1640,Citalopram Hydrobromide,59729-32-7,1 g,EUR 146,1134233
PHR1642,Acetaminophen Related Compound B,1693-37-4,50 mg,EUR 737,1003027
PHR1643,Salicylic Acid Related Compound B,636-46-4,200 mg,EUR 183,1609024
PHR1645,Sodium Iron EDTA,15708-41-5,1 g,EUR 187,1614239
PHR1647,Chlorpheniramine Related Compound B,1202-34-2,200 mg,EUR 174,
PHR1648,Omeprazole Related Compound A,88546-55-8,30 mg,EUR 684,1478516
PHR1649,Omeprazole Related Compound E,176219-04-8,30 mg,EUR 684,1478527
PHR1650,Omeprazole Related Compound I,,30 mg,EUR 684,1478561
PHR1651,Fluconazole Related Compound A,871550-15-1,30 mg,EUR 656,
PHR1652,Valproic Acid Related Compound A,99-67-2,0.5 mL,EUR 684,1708729
PHR1653,Cilostazol Related Compound B,73963-62-9,100 mg,EUR 684,1134175
PHR1654,Amikacin,37517-28-5,1 g,EUR 193,1019508
PHR1655,Carbidopa,38821-49-7,1 g,EUR 110,1095506
PHR1656,Cetirizine Hydrochloride,83881-52-1,1 g,EUR 99.2,1102929
PHR1657,Lincomycin Hydrochloride,7179-49-9,1 g,EUR 102,1367005
PHR1658,Dimenhydrinate,523-87-5,1 g,EUR 152,1206006
PHR1659,Flucytosine,2022-85-7,1 g,EUR 102,1272000
PHR1660,Indapamide,26807-65-8,1 g,EUR 105,1338801
PHR1661,Isopentane Solution,78-78-4,2 mL,EUR 153,
PHR1662,Amphotericin B,1397-89-3,500 mg,EUR 381,1032007
PHR1663,Propofol,2078-54-8,1 mL,EUR 193,1572503
PHR1664,Rifamycin Sodium,14897-39-3,500 mg,EUR 122,
PHR1665,Chlorobenzene,108-90-7,3 x 1.2 mL,EUR 99.2,1601361
PHR1666,Diethyl Ether,60-29-7,3 x 1.2 mL,EUR 99.2,
PHR1667,t-Amyl Alcohol,75-85-4,3 x 1.2 mL,EUR 99.2,
PHR1668,Retinyl Propionate,7069-42-3,1 g,EUR 143,
PHR1669,Lidocaine Related Compound A,,100 mg,EUR 599,
PHR1670,Lidocaine Related Compound B,,100 mg,EUR 672,
PHR1672,Lidocaine Related Compound E,,100 mg,EUR 672,
PHR1673,Lidocaine Related Compound H,1131-01-7,100 mg,EUR 672,1366080
PHR1674,Lidocaine Related Compound I,,100 mg,EUR 672,
PHR1675,Lidocaine Related Compound J,,100 mg,EUR 672,
PHR1676,Cilostazol Related Compound C,865792-18-3,100 mg,EUR 672,1134186
PHR1677,Anthralin (Dithranol),1143-38-0,1 g,EUR 210,1039006
PHR1678,Bicalutamide,90357-06-5,1 g,EUR 108,1071202
PHR1679,Atomoxetine Hydrochloride,82248-59-7,500 mg,EUR 174,
PHR1680,Desloratidine,100643-71-8,1 g,EUR 143,1173042
PHR1681,Benzalkonium Chloride 50% Solution,63449-41-2,1 mL,EUR 96.4,1050993
PHR1682,Baclofen,1134-47-0,1 g,EUR 172,1048200
PHR1683,Celecoxib,169590-42-5,1 g,EUR 117,
PHR1684,Carbimazole,22232-54-8,1 g,EUR 241,
PHR1685,Fexofenadine HCl,153439-40-8,1 g,EUR 284,1270377
PHR1686,Tazobactam,89786-04-9,1 g,EUR 117,1643383
PHR1687,Cyclohexane,110-82-7,3 x 1.2 mL,EUR 193,1601408
PHR1687,Cyclohexane,110-82-7,3 x 1.2 mL,EUR 193,1601408
PHR1688,Chlorpheniramine Related Compound C,22630-25-7,50 mg,EUR 727,
PHR1689,Ammonium Glycyrrhizate,53956-04-0,200 mg,EUR 156,1029929
PHR1690,Disulfiram,97-77-8,1 g,EUR 143,1224008
PHR1691,4-Epianhydrotetracycline hydrochloride,4465-65-0,100 mg,EUR 729,1236506
PHR1692,Phenytoin Related Compound B,6802-95-5,100 mg,EUR 682,1535020
PHR1693,Pyridoxine Impurity A,1006-21-9,50 mg,EUR 706,
PHR1694,Pyridoxine Impurity B,,50 mg,EUR 706,
PHR1695,Phenylephrine Related Compound C,94240-17-2,50 mg,EUR 682,1533024
PHR1696,Famciclovir,104227-87-4,1 g,EUR 223,1269152
PHR1697,Levofloxacin Hemihydrate,138199-71-0,1 g,EUR 193,1362103
PHR1698,Neotame,243116-62-3,1 g,EUR 119,
PHR1699,Lutein,127-40-2,3 x 100 mg,EUR 755,1370804
PHR1700,Ribavirin,36791-04-5,1 g,EUR 136,1602706
PHR1701,Triamcinolone Acetonide,76-25-5,1 g,EUR 193,1677002
PHR1702,Fluticasone Propionate,80474-14-2,200 mg,EUR 277,1285873
PHR1703,Natamycin,7681-93-8,1 g,EUR 193,1457505
PHR1705,Mefloquine Hydrochloride,51773-92-3,1 g,EUR 127,1379059
PHR1708,Ascorbic acid Impurity C,21675-47-8,30 mg,EUR 755,
PHR1709,Ascorbic Acid Impurity D,,30 mg,EUR 755,
PHR1710,Cetirizine hydrochloride Related Compound A,246870-46-2,40 mg,EUR 705,
PHR1711,Amantadine hydrochloride,665-66-7,500 mg,EUR 153,1018505
PHR1712,Phenylephrine Related Compound E,71786-67-9,50 mg,EUR 682,1533046
PHR1713,Proguanil hydrochloride,637-32-1,1 g,EUR 193,1568040
PHR1714,Norethindrone (Norethisterone),68-22-4,1 g,EUR 284,1469005
PHR1715,Sisomicin Sulfate,53179-09-2,1 g,EUR 241,1612801
PHR1716,Capreomycin Sulfate,1405-37-4,500 mg,EUR 279,1091006
PHR1717,Methylprednisolone,83-43-2,500 mg,EUR 119,1435003
PHR1718,Methylprednisolone Acetate,53-36-1,500 mg,EUR 119,1436006
PHR1719,6-O-Methylguanine (2-Amino-6-Methoxypurine),20535-83-5,1 g,EUR 146,
PHR1720,Clomipramine hydrochloride,17321-77-6,1 g,EUR 153,1140427
PHR1721,Terazosin Hydrochloride,70024-40-7,1 g,EUR 119,
PHR1722,Triamterene,396-01-0,400 mg,EUR 186,1680007
PHR1724,Haloperidol,52-86-8,400 mg,EUR 166,1303002
PHR1725,Glimepiride cis-Isomer (Glimepiride Related Compound A),684286-46-2,40 mg,EUR 729,1292314
PHR1727,Glimepiride Related Compound C,119018-30-3,40 mg,EUR 755,1292336
PHR1729,Buprenorphine Hydrochloride,53152-21-9,50 mg,EUR 283,1078700
PHR1730,Bupropion Hydrochloride,31677-93-7,1 g,EUR 191,1078733
PHR1731,Nitisinone,104206-65-7,1 g,EUR 283,
PHR1732,Vancomycin hydrochloride,1404-93-9,4 x 250 mg,EUR 241,1709007
PHR1733,Escitalopram Oxalate,219861-08-2,1 g,EUR 283,1249406
PHR1734,Ritonavir,155213-67-5,1 g,EUR 131,1604803
PHR1735,Demeclocycline HCl,64-73-3,1 g,EUR 171,1170000
PHR1736,Venlafaxine Hydrochloride,99300-78-4,1 g,EUR 140,1711268
PHR1737,Colistimethate Sodium,8068-28-8,500 mg,EUR 381,1147009
PHR1738,Bupivacaine Related Compound A,,40 mg,EUR 466,1078518
PHR1739,Mesalazine Impurity C,95-55-6,200 mg,EUR 237,
PHR1740,1-Vinyl-2-pyrrolidinone,88-12-0,200 mg,EUR 372,
PHR1741,2-Chloro-5-nitrobenzoic acid,2516-96-3,200 mg,EUR 372,
PHR1742,2-Hydroxy-nitrobenzoic acid,619-19-2,200 mg,EUR 372,
PHR1743,3-Aminobenzoic acid,99-05-8,200 mg,EUR 372,
PHR1744,3-Chlorobenzoic acid,535-80-8,200 mg,EUR 237,1112299
PHR1745,4-Aminophenol hydrochloride,51-78-5,500 mg,EUR 171,
PHR1746,4-Aminosalicylic acid,65-49-6,500 mg,EUR 148,1026401
PHR1747,4′-Aminoacetophenone,99-92-3,200 mg,EUR 237,
PHR1748,Glacial Acetic Acid,64-19-7,3 x 1.5 mL,EUR 140,1005706
PHR1749,Trimeprazine Tartrate,4330-99-8,1 g,EUR 237,1689001
PHR1750,Reserpine,50-55-5,1 g,EUR 255,1601000
PHR1751,Guanfacine hydrochloride,29110-48-3,500 mg,EUR 191,1302101
PHR1752,Bupropion Hydrochloride Related Compound A,1049718-72-0,30 mg,EUR 778,1078744
PHR1753,Bupropion Hydrochloride Related Compound B,1049718-43-5,30 mg,EUR 778,1078755
PHR1754,Bupropion Related Compound C,152943-33-4,30 mg,EUR 778,1078766
PHR1755,Bupropion Related Compound F,857233-13-7,30 mg,EUR 778,1078799
PHR1756,Bupivacaine Related Compound B,15883-20-2,20 mg,EUR 778,1078529
PHR1757,Nevirapine,129618-40-2,1 g,EUR 146,1460703
PHR1758,Thiourea,62-56-6,200 mg,EUR 317,
PHR1759,Thiamine Impurity E,299-35-4,20 mg,EUR 317,
PHR1760,Nevirapine Related Compound A,133627-17-5,50 mg,EUR 778,1460725
PHR1761,Nevirapine Related Compound B,287980-84-1,50 mg,EUR 778,1460736
PHR1762,Nevirapine Related Compound C,287980-85-2,50 mg,EUR 778,1460747
PHR1763,Cefepime hydrochloride,123171-59-5,1 g,EUR 210,1097636
PHR1764,Colchicine,64-86-8,400 mg,EUR 196,1146006
PHR1765,Cycloserine,68-41-7,1 g,EUR 136,1158005
PHR1766,Eprinomectin,123997-26-2,1 g,EUR 170,1237752
PHR1767,Melatonin,73-31-4,500 mg,EUR 177,1380105
PHR1768,Dexamethasone Sodium Phosphate,2392-39-4,1 g,EUR 156,1177032
PHR1769,Isomalt,64519-82-0,1 g,EUR 107,1349626
PHR1770,Lycopene (approximately 10% lycopene in inert substances),502-65-8,500 mg,EUR 585,1370860
PHR1770,Lycopene (approximately 10% lycopene in inert substances),502-65-8,5 x 100 mg,EUR 585,1370860
PHR1771,Digoxin,20830-75-5,300 mg,EUR 292,1200000
PHR1772,Meropenem,119478-56-7,500 mg,EUR 292,1392454
PHR1773,Ranitidine Related Compound A,91224-69-0,100 mg,EUR 778,1598507
PHR1774,Ranitidine Related Compound B,72126-78-4,100 mg,EUR 778,1598609
PHR1775,Ranitidine Related Compound C,73851-70-4,100 mg,EUR 942,1598700
PHR1777,Orphenadrine Citrate,4682-36-4,1 g,EUR 196,1479009
PHR1778,Tolnaftate,2398-96-1,1 g,EUR 210,1671006
